数珠（宋·释昙密）　　七言绝句　押先韵	百八摩尼颗颗圆，辽天鼻孔一时穿。恒河沙数佛菩萨，日日呼来跳一圈①。
偈颂十首（宋·释昙密）　　押麌韵	一二三四五，金木水火土。拾得语寒山，丰干骑老虎。报君知，莫莽卤。从来保福四谩人，不似禾山解打鼓。
颂古二首（宋·释昙密）　　押尤韵	塞北平沙阔，黄河衮底流。征帆才及岸，蛮狄一时收。
颂古（宋·释昙密）　　押药韵	平地摝鱼虾，辽天射飞鹗。跛脚老云门，千错与万错①。
颂古（宋·释昙密）　　押尤韵	崔颢曾题黄鹤楼，长沙拈起当风流。大千国土俱家业，诸佛何曾有地头①。
