郎官湖春日四首（宋·李祁）　　七言绝句　押麻韵	两山收雨暗平沙，遮断溪梅隔水花。留得烟林作图画，依稀松磴有人家。
减字木兰花（宋·李祁）	梨花院宇。澹月倾云初过雨。一枕轻寒。梦入西瑶小道山。花深人静。帘锁御香清昼永。红药阑干。玉案春风窈窕间。
点绛唇（宋·李祁）	楼下清歌，水流歌断春风暮。梦云烟树。依约江南路。碧水黄沙，梦到寻梅处。花无数。问花无语。明月随人去。
青玉案（宋·李祁）	绿琐窗纱明月透。正清梦、莺啼柳。碧井银瓶鸣玉甃。翔鸾妆样，粲花衫绣。分付春风手。喜入秋波娇欲溜。脉脉青山两眉秀。玉枕春寒郎知否。归来留取，御香襟袖。同饮酴醾酒。
鹊桥仙（宋·李祁）	春阴淡淡，春波渺渺，帘卷花稍香雾。小舟谁在落梅村，正梦绕、清溪烟雨。碧山学士，云房娇小，须要五湖同去。桃花流水鳜鱼肥，恰趁得、江天佳处。
阮郎归（宋·李祁）　　押删韵	校书学士小蓬山。新参玉笋班。买花归去五湖间。浣花龙尾湾。
南歌子（宋·李祁）	袅袅秋风起，萧萧败叶声。岳阳楼上听哀筝。楼下凄凉江月、为谁明。雾雨沈云梦，烟波渺洞庭。可怜无处问湘灵。只有无情江水、绕孤城。
醉桃源（宋·李祁）	春风碧水满郎湖。水清梅影疏。渡江桃叶酒家垆。髻鬟云样梳。吹玉蕊，饮琼腴。不须红袖扶。少年随意数花须。老来心已无。
朝中措（宋·李祁）	郎官湖上探春回。初见照江梅。过尽竹溪流水，无人知道花开。佳人何处，江南梦远，殊未归来。唤取小丛教看，隔江烟雨楼台。
水龙吟 郎官湖（宋·李祁）	碧山横绕清湖，茂林秀麓波光里。南宫老大，西洲漂荡，危亭重倚。雨步云行，饵风饮雾，平生游戏。笑此中空洞，都无一物，有神妙、浩然气。扫尽云南梦北，看三江五湖秋水。狂歌两解，清尊一举，超然千里。江汉苍茫，故人何处，山川良是。待白蘋露下，青天月上，约骑鲸起。
西江月（宋·李祁）	拾翠亭前水满，郎官湖上春回。仪龙新碾试琼杯。更觉春江有味。拄杖行穿翠筱，吹花醉绕江梅。故园心事老相催。此意陶潜能会。
浪淘沙令（宋·李祁）	拍手趁西风。惊起乖龙。青山绿水古今同。唯有一轮山上月，长照江中。一点落金钟。浑似虚空。道人不住有云峰。但是人家清酒瓮，行处相逢。
如梦令（宋·李祁）	春水湖塘深处。竹暗沙洲无路。闲伴落花来，却信东风归去。且住。且住。细看两山烟雨。
句 其一（宋·李祁）　　押虞韵	归家勿忧御史雨，明月正满郎官湖（书事）。
