曲水园（宋·贾昌朝）　　七言绝句　押真韵	画船载酒及①芳辰，丞相园林潩水滨。虎节麟符抛不得，却将清景付闲③人②。
咏凌霄花（宋·贾昌朝）　　七言绝句　押侵韵	披云似有凌霄志，向日宁无捧日心。珍重青松好依托，直从平地起千寻。
繁城魏受禅台（宋·贾昌朝）　　七言绝句　押阳韵	服殷自古称文王，几见符膺把纣亡。谁谓老奸亟篡事，禅台空立在繁昌①。
玉楼春（宋·贾昌朝）	都城水绿嬉游处。仙棹往来人笑语。红随远浪泛桃花，雪散平堤飞柳絮。东君欲共春归去。一阵狂风和骤雨。碧油红旆锦障泥，斜日画桥芳草路。
句（宋·贾昌朝）　　押真韵	坐忆蛟桥此日新①。
