过乌江（宋·赵奉）　　五言绝句	晓望泰山云，暮饮乌江水。云水寄萍踪，何日归根处。
乘舟中述怀（宋·赵奉）　　七言绝句　押尤韵	醉中忽忽到吴头，怀见金陵却倦游。不逐波流赴沧海，挽兹神水上中洲①。
初秋喜雨（宋·赵奉）　　七言绝句　押真韵	长风吹出万山云，酿作甘霖四野均。畦背蓑衣牛背笛，津津喜色洽吾民。
