示居士张戒二首（宋·释系南）　　七言绝句　押御韵	汝到庐山山到汝，更谁别我庐山去。出门问取岭头风，大道腾腾无本据。
偈（宋·释系南）	禅不禅，道不道，三寸舌头胡乱扫。昨夜日轮飘桂花，今朝月窟生芝草。呵呵呵，万两黄金无处讨。一句绝思量，诸法不相到。
临终偈（宋·释系南）	罗汉今日，倒骑铁马，逆上须弥。踏破虚空，不留朕迹①。
