青莲山（宋·杨埙）　　七言绝句　押齐韵	拨开瑟瑟青萝帐，寻得磷磷白石梯。更入云霞最深处，忘机数日遂幽栖。
郎官岩（宋·杨埙）　　七言绝句　押文韵	碧玉莫遮千嶂石，黄金难买一溪云。歌钟沸地徒誇盛，争似松风竟夕闻。
碧涧亭（宋·杨埙）　　七言绝句　押东韵	妙笔王维图莫就，多才康乐咏难穷。楼台一簇出云杪，激雪浪生寒涧风①。
