诗三首（宋·徐守信）　　七言绝句　押尤韵	遥望南庄景色幽，前人田土后人收。儿孙自有儿孙福，莫与儿孙作马牛。
诗一首（宋·徐守信）　　七言绝句　押庚韵	牡蛎滩头一艇横，夕阳西去待潮生。与君不负登临约，同上金鳌背上行①。
偈（宋·徐守信）	天地一尺，四海一滴。把眼一眨，不见踪迹①。
