示小师思悟（宋·释法成）　　七言绝句　押有韵	维摩不默不良久，打破玄关没窠臼。堪嗟几个杜波斯，问著痴痴不问口①。
山居（宋·释法成）　　七言绝句　押侵韵	四顾巍峨锁碧阴，松风和雨响于琴。居山不用逃声色，百鸟归来何处寻。
偈三首（宋·释法成）　　押灰韵	灯笼忽尔笑咍咍，如何露柱亦怀胎。天明生得白头女，至今游荡不归来。这冤家，好归来，黄花与翠竹，早晚为谁栽。
颂古二首 达磨见武帝（宋·释法成）	闲将一段秦川锦，裁作人间巧妇衣。几度著来呈伎俩，暗中曲调少人知。
