武夷山升真洞（宋·陈觉民）　　七言绝句　押真韵	升真洞口接天门，灵草丹桃日日春。听说列仙来瑞世，三朝德业在斯民①。
五仙观（宋·陈觉民）　　七言绝句　押寒韵	古木脩篁绝世间，越王台殿作仙坛。白羊常在玉虚远，玄鹤不来金井寒①。
寄米元章二首（宋·陈觉民）　　七言绝句　押麻韵	汩汩尘埃阅岁华，青山相见认空花。清淮风月元无价，凭仗诗翁为我赊。
句（宋·陈觉民）　　押麻韵	却忆当年江处士，辞言秋色蔼人家①。
