苔钱（宋·叶岂潜）　　七言绝句　押豪韵	青钱点点浮鹅眼，绿毯鳞鳞织翠毛。聚散因风翻覆手，池塘犹喜没惊涛①。
蝉（宋·叶岂潜）　　七言绝句　押真韵	柳边晓立看虫蜕，化作风餐露宿身。林静昼长吟不绝，骚骚清苦似诗人。
鳜鱼（宋·叶岂潜）　　七言绝句　押支韵	渔翁今度笭箵富，正是桃花水腻时。网得文鳞如墨锦，贯来杨柳是金丝①。
