白云堂（宋·释维琳）　　五言绝句	堂与碧山对，白云长作邻。日暮白云合，谁见白云心①。
有司欲取寺松供朝用感赋（宋·释维琳）　　七言绝句　押灰韵	大夫去作栋梁材，无复清阴覆绿苔。今夜月明风露冷，误他千里鹤飞来①。
常州问东坡疾（宋·释维琳）	扁舟驾兰陵，自愞①旧风物。君家有天人，雄②雄维摩诘。我口吞③文殊，千里来问疾。若以默④相酬，露柱皆笑出⑤。
句（宋·释维琳）	瓯面乳花谁共看①。
