拙颂奉别知事颐首兼云堂诸禅众（宋·释净如）　　七言绝句　押微韵	七年林下冷相依，自愧铅刀利同微。聚散莫云千里远，轮天一月共同晖。
慈书记写予真求赞漫书此以塞来意（宋·释净如）	眉不修疏头突兀，鼻罍垂兮颧无骨。长怜百丑兼且讷，慈禅慈禅不我拙。名兮邈兮水里月①。
颂一首（宋·释净如）　　押屑韵	四大幻形，徒劳口别。缘会而生，缘散而灭。一片虚空，本无口缺。六十九年一梦身，临行何用忉二说①。
