和祖择之学士袁州庆丰堂十咏（宋·陈诜）　　五言绝句　押麻韵	时丰公事少，笔砚任横斜。环郭江山秀，人情等物华。
和祖择之咏震山岩彭徵君钓台（宋·陈诜）　　七言绝句　押微韵	东有徵君真逸居，有台可钓傍渔矶。志高不在鱼吞饵，回笑荥阳血染衣①。
眼儿媚 钱别（宋·陈诜）	鬓边一点似飞鸦。休把翠钿遮。二年三载，千拦百就，今日天涯。杨花又逐东风去，随分入人家。要不思量，除非酒醒，休照菱花。
