遗閒閒赵公（宋·王中立）　　七言绝句　押先韵	寄与閒閒傲浪仙，枉随诗酒堕凡缘。黄尘遮断来时路，不到蓬山五百年。
古鹤（宋·王中立）　　七言绝句　押鱼韵	天地之间一古儒，醒来不记醉中书。旁人错比神仙字，只恐神仙字不如①。
句（宋·王中立）	醉袖舞嫌天地窄，诗情狂压海山平（《续夷坚志》卷一）。
