郊寺（宋·木待问）　　七言绝句　押盐韵	红委墙阴花寂寂，翠滋亭角草纤纤。风翻书叶常交案，雨压炉烟不过帘①。
火后寄诠老（宋·木待问）	搀枪堕九霄，列缺乱阡陌。西城若黔庐，东墟已堆甓。幽栖仅容膝，隐市意自适。天公不我相，同此编户厄。平生一丘壑，未信天地窄。终焉感穷途，万虑集中夕。载观宇宙内，在在等公宅。鄙夫六尺躯，俯仰叹逼仄。炙手事当路，快意已烂额。野子今兀然，乘除付陈迹。此身亦何有，而复身外惑。相逢肯分山，试面九年壁。
千里思（宋·木待问）	君行千里轻所历，妾驰千里心匪石。春房酌酒意匆匆，愁不在离愁在忆。鸳鸯瓦上昏无色，鹦鹉杯中尘更积。灯前独坐制君衣，泪湿剪刀裁不得。
