答僧问（宋·释如珏）　　七言绝句　押麻韵	如何是佛烂冬瓜，咬著冰霜透齿牙。根蒂虽然无窖子，一年一度一开花①。
颂古（宋·释如珏）　　押阳韵	诸佛出身处，千般谩度量。东山行水上，眨眼过扶桑①。
继天童颖禅师席后上堂说偈（宋·释如珏）	新岁新击鼓，普施新法雨。万物尽从新，一一就规矩。普贤大士忻欢①，乘时打门户。放出白象王，遍地无寻处②。
