书事七首（宋·时少章）　　七言绝句　押东韵	诸将纷然各自雄，面前全隔马牛风。尚衣已办通天带，何日临门送晋公。
题园门（宋·时少章）　　七言绝句　押先韵	林花落处忆初妍，半折妖红似隔年。今日绿阴还涨眼，却思花落又茫然。
鸣鸡行（宋·时少章）	三里寥落秋夜长，老鸡望星初引吭。一声二声天沆漭，客梦初回犹惚恍。三声四声天渐明，道上行人马蹄响。嗟尔行人人有心，心长面短谁能寻。薛君脱走窘思虑，刘牧起舞豪精神。勿言咿喔才满座，中有叹悲千万个。君知种种在此鸡，只合鸡声塞天破。吴中老翁百不忙，杀鸡酿酒酬年光。黄紬软暖蒲荐稳，日出三竿犹在床。
大节堂碑引（宋·时少章）	天降疢疾殄我民，鸱鹠奋怒豺虎狞。掩道赤鸦蔽阳精，夜罗鬼火塞要津。当涂大吏腰缠金，挠腘稽颡泪满膺。嗢咿软语若稚婴，欺卖宗祏倾皇灵。有勇三子心棱棱，扳弧援甲凭孤城。城颓兵折气益振，目光如炬铄成群。或从辟雍曳长绅，欲拄八极遮帝𨍍。有伟三子辞轰轰，危立高骂声吐霆。颈血溅天天为昏，断尸峙立不仆倾。神扶鬼挟赫可惊，坐朝不与燕不宾。寸武不踏黄金屏，性忠内发孰使令。英气挺挺旷古今，朅来柯山访厥孙。彷佛毅状冲杳冥，筑堂泮宇夐深明。悲风苦雨凄棘林，魂兮来归肃泠泠。寥哉旷宇畴非臣，登兹堂兮企风神。须毛磔立心胆森，勿俾三子专修名①。
