山行见菊（宋·李鼐）　　七言绝句　押阳韵	野色芬敷洗露香，篱边不减御衣黄。繁英自剪无人插，应笑陶潜两鬓霜①。
送修书记游天台（宋·李鼐）	尘事日败人，筋力随以劳。三年梁溪上，俯仰如桔槔。穷巷躬水菽，杜门匪禅逃。修公岩壑人，臭味合我曹。閒从茗碗集，有往不待招。清芬落净几，宴坐挥霜毫。脱略畦畛外，寂寞期久要。春风草离离，飞花照方袍。朝来遽别我，明月挂一瓢。笑指天台云，意气东南高。去去不可挽，独鹤鸣九皋。会看精进力，觉性一宿超。全提法王法，众说障奔涛。大千廓沙界，体现无丝毫。异时药山偈，问道惭非翱①。
送燕明仲归常熟（宋·李鼐）	东南江海郡，瘴雾腥蛟螭。土俗异乡县，客子怀归思。归思何从返，远道伤百危。干戈久未定，一水分华夷。壮士争挽强，觅爵唾手期。而我痴绝甚，尚复事毛锥。三年行在所，短褐风霜欺。生理寄茅栋，不饱藿与藜。苦辛攻积忧，欲语听者谁。赖有燕公子，好事颇见奇。邻墙肯相过，情话肝胆披。君才駃騠骏，不受尘埃羁。骧首志千里，蹲踏风云垂。乃翁名世将，先朝补邦基。殊勋鼎彝在，劲节不少亏。后昆德泽盛，衮衮固未衰①。
清平乐（宋·李鼐）	乱云将雨。飞过鸳鸯浦。人在小楼空翠处。分得一襟离绪。片帆隐隐归舟。天边雪卷云浮。今夜梦魂何处，青山不隔人愁。
洞仙歌（宋·李鼐）	馀寒未展，帘幕新来燕。杨柳梢头嫩黄染。小溪山缭绕，别是风烟，春澹澹，谁道蓬莱路远。冰姿人不老，长伴春闲，环佩声中度芳宴。宝屏开，烟袅袅，金鸭吹香，欢笑处，烛影花光共暖。便莫惜瑶觞醉如泥，占岁岁东风，舞衣歌扇。
渔家傲（宋·李鼐）	日借嫩黄初看柳。池塘冰泮游鱼透。庭馆匆匆佳气候。□山透。膺时贤佐生天佑。寿者康宁还德厚。功名富贵须长久。从此安排千岁酒。常祝寿。一年一献黄金酎。
鹧鸪天（宋·李鼐）	种得门阑五福全。常珍初喜庆华筵。王环醉拍春衫舞，今见康强九九年。神爽朗，骨清坚。壶天日月旧因缘。从今把定春风笑，且作人间长寿仙。
鹧鸪天（宋·李鼐）	珍重高人阎右丞。胸中丘壑富丹青。暂从天下分轺使，来向人间作寿星。凉日挂，暑风轻。一番秋思十分清。细倾鹦鹉休辞劝，烂醉葡菊不用醒。
风入松（宋·李鼐）	翠烟笼日上花梢。花外楼高。海犀不动帘栊静，昼长人懒莺娇。宝篆浓薰沉水，清商低按擅槽。画堂深处燕蟠桃。亲见仙曹。雾鬟不改朱颜好，年年长被春饶。一品疏封它日，十分沉醉今朝。
玉蝴蝶（宋·李鼐）	望处水寒云绕，倚栏千里，澹荡晴晖。梦燕门阑，和气喜动帘帏。舞裀重、花明彩凤，歌扇小、香暖金猊。漏声迟。洞天秋晓，风露霏霏。嘉时。谪仙高宴，华分玉蜡，艳列文姬。玉树临风，自然老月中枝。酒肠宽、胸容云梦，词源壮、笔勇助溪。且追随。伫看飞诏，稳步沙堤。
一井金（宋·李鼐）　　押宥韵	绿阴清昼。两茸茸、梅子黄时候。华堂金兽。香润炉烟透。舞燕回轻袖。歌凤翻新奏。院静人稀，永日迟迟花漏。
满庭芳（宋·李鼐）　　押歌韵	腊雪溶酥，春冰浮玉，素蟾三五才过。晓来庭户，何事五云多。尽道九天麟坠，□环佩、袅袅鸣珂。风标爽、胸中嵬磊，豪气挽天河。平生，横槊志，指挥夷虏，平定干戈。看它年功业，还让廉颇。且对江山难老，金樽满、鲸海翻波。歌声转，玉人扶处，拚取醉颜酡。
