简州（宋·王镐）　　五言绝句　押元韵	山水三池郡，平湖坞可园。要成真吏隐，故作小桃源。
小桃源（宋·王镐）　　五言绝句　押阳韵	二水清浑合，三山锦绣张。迹沉簿书冗，身在水云乡①。
移竹后雨（宋·王镐）　　七言绝句	洗红窣窣乌苣雨，落紫飕飕皂角风。挂起北窗聊问讯，新移来竹定惺松①。
句（宋·王镐）　　押歌韵	只言弱水蓬莱远，无奈仙风道骨何（望仙楼）。
