自题眄怡斋（宋·程迥）　　七言绝句　押真韵	乞得胶胶扰扰身，霜筠露菊便相亲。劝君莫厌羹藜藿，违己由来更病人。
尤美轩（宋·程迥）	儒贤不自居，远慕六一翁。洞岩天下奇，超出滁山峰。郁积秀和气，钟我盖世公。冰玉相辉映，盛事古无同。公今忽乘箕，而我来自东。列炬照幽远，扪萝扣玲珑。阳崖能夺景，阴岫自藏风。巉绝异状至，淙激洑流通。须臾钟磬发，乃得梵王宫。亭制亦云旧，远日增凭空。禅老霜颠毛，历历记前踪。名儒天一涯，怅仰无欢悰。诸友命之赋，万象骄莫从。异时怜湛辈，名托岘山崇①。
题玉真书院（宋·程迥）	吴侯所筑居，密近玉真麓。翳葳秘幽奇，千载空乔木。一朝敞虚境，划见神仙躅。拄杖步危磴，远寄千里目。鹤凭子晋笙，凫举王乔足。信是隐君子，名入丹青录。冥搜得佳句，隐然可骚仆。早闻云锦溪，鸣榔到岩谷。寄我辋川图，居然媚幽独。何当棹轻舠，飞鸟送遐瞩①。
