濡须坞（宋·龚相）　　七言绝句　押删韵	南北安危限两关，迅流一去几时还。凄凉千古干戈地，春水方生鸥自閒①。
学诗（宋·龚相）　　七言绝句　押先韵	学诗浑似学参禅，悟了方知岁是年。点铁成金犹是妄，高山流水自依然。
句（宋·龚相）	夜半微雨湿，凌晨春草长（感兴）。
