政和壬辰留题石鱼（宋·王蕃）　　五言绝句　押蒸韵	冬旱江成渚，维鱼记石棱。滋濡春遂足，狼戾岁将□①。
凤巢山（宋·王蕃）　　七言绝句　押齐韵	古邑荒凉瞰小溪，青山高与白云齐。凤凰飞去巢阿阁，未肯重来觅故栖。
句（宋·王蕃）	南亩桑麻无旧户，西园桃李变新栽（题隆化县衙）。
