罗汉阁煎茶应供（宋·刘珵）　　七言绝句　押寒韵	宝炉香散晓烟寒，净几供茶绕座看。已爱六花金缕异，更惊三啜翠痕乾①。
咏西湖十洲 花屿（宋·刘珵）　　七言绝句　押支韵	浅深艳冶一枝枝，带露临风不自持。水上红云真缥渺，多才却忆退之诗。
咏西湖十洲 芳草洲（宋·刘珵）　　七言绝句　押微韵	春水池塘空苒苒，长安古道倍依依。争如绿向芳洲遍，不怨王孙去未归。
咏西湖十洲 柳汀（宋·刘珵）　　七言绝句　押萧韵	江①渡隋堤千万缕，年年折尽最长条。谁知烟雨汀洲晚，閒舞东风拂画桥。
咏西湖十洲 竹屿（宋·刘珵）　　七言绝句　押灰韵	翠云摇曳波心起，清影扶疏月际来。结实终期丹凤至，虚心聊映小桃开。
咏西湖十洲 烟屿（宋·刘珵）　　七言绝句　押麻韵	閒伴晓云笼浅濑，半和秋雨羃寒沙。溶溶泄泄拖轻素，遮尽渔蓑与钓槎。
咏西湖十洲 芙蓉洲（宋·刘珵）　　七言绝句　押阳韵	翠幄临流结绛囊，多情长伴菊花芳。谁怜冷落清秋后，能把柔姿独拒霜。
咏西湖十洲 菊花洲（宋·刘珵）　　七言绝句　押灰韵	金蕊含①香冒雨开，清无俗格绝尘埃。休嗟不及东篱下，也有幽人载酒来。
咏西湖十洲 月岛（宋·刘珵）　　七言绝句　押尤韵	众乐亭前月满洲，雨馀风静正中秋。桂华冷射千寻碧，十顷湖光烂不收。
咏西湖十洲 雪汀（宋·刘珵）　　七言绝句　押灰韵	六出花轻巧剪裁，瑶林玉砌映南台。冰澌四面寒光合，疑有飞仙月下来。
咏西湖十洲 松岛（宋·刘珵）　　七言绝句　押阳韵	耻随杨柳娇春色，厌近芙蕖透①暗香。直干凌霜终偃蹇，愿为一柱壮明堂②。
