大涤洞（宋·何炳然）　　五言绝句　押删韵	杳默閟虚旷，森爽离人寰。玉室非所诣，回首烟中山①。
天柱峰（宋·何炳然）　　五言绝句　押遇韵	终古郁岧峣，东南此撑柱。当时若更高，恐碍日月路①。
千年古石（宋·何炳然）　　五言绝句　押纸韵	怪底黄石公，乃是赤松子。蒲柳不自强，一见颡应泚①。
龙洞（宋·何炳然）　　五言绝句　押纸韵	胡髯抱嵌岩，白云拥万里。若弄华阳珠，我欲割左耳。
右凤洞（宋·何炳然）　　五言绝句　押齐韵	上作千仞翔，下作千岩栖。箫韶在何处，苍梧云气迷①。
云根峰（宋·何炳然）	十洲仙子骑龙鹤，路阔云深贪舞跃。不知缥缈已无心，一朵飞来坠山脚。几度天风吹不开，数回山雨误飘来。直恐老龙招得去，千顷万顷游蓬莱①。
