失调名（宋·郭子正）　　押队韵	清晓开庭，茱萸初佩。
舜韶新（宋·郭子正）	香满西风，催岁晚东篱，黄花争吐。嫩英细蕊，金艳繁、妆点高秋偏富。寒地花媒少，算自结、多情烟雨。每年年妆面，谢他拒霜相顾。宝马王孙，休笑孤芳，陶令因谁，便思归去。负春何事，此恨惟、才子登高能赋。千古风流在，占定泛、重阳芳醑。堪吟看醉赏，何须杏园深处。
永遇乐（宋·郭子正）	多积阴功，后蒙天报，荣贵长久。一片灵台，丹青要画，画请看人间秀。慈仁雅着，延永松年，内鼎有丹方就。想除非，真的高人，五福自然兼有。从来义方，今见公辅，量运夔龙居后。承此门风，相传世业，都是经邦手。狂歌将意，知公难老，永助庆堂尊酒。有重重，腰金孙子，继来献寿。
