第一诀（宋·释善昭）　　押月韵	接引无时节，巧语不能诠，云绽青天月。
第二诀（宋·释善昭）　　押屑韵	舒光辨贤哲，问答利生心，拔却眼中楔。
第三诀（宋·释善昭）　　押屑韵	西国胡人说，济水过新罗，北地用镔铁。
句 其二（宋·释善昭）　　押元韵	阵云横海上，拔剑搅龙门。
颂（宋·释善昭）　　押真韵	三玄三要事难分，得意忘言道易亲。一句明明该万象，重阳九日菊花新。
偈（宋·释善昭）　　押阳韵	胡僧金锡光，为法到汾阳。六人成大器，劝请为敷扬。
偈（宋·释善昭）　　押屑韵	汾阳有三诀，衲曾难辨别。更拟问如何，拄杖蓦头揳。
