落梅（宋·王时叙）　　七言绝句　押支韵	廿年作伴是相知，每岁花开红满枝。可惜一朝零落尽，暗香疏影问谁之。
惜母山新路词（宋·王时叙）　　七言绝句　押支韵	惜母山前龙女祠，画船送客黄金卮。从他坐唱阳关曲，只唱新开石路词。
题图南像（宋·王时叙）　　七言绝句　押真韵	西华山中爱睡臣，何曾睡过百年春。争如警枕惺惺者，终作乾坤不朽人①。
