题延福寺（宋·释宗美）　　五言绝句　押庚韵	倚槛寒松偃，连云一径横。就中图不得，窗户入江声。
自题诗集（宋·释宗美）　　七言绝句　押先韵	新集刍荛六百篇，冥搜疑到不还天。多惭未得骚人旨，虚役身心五十年。
句（宋·释宗美）　　押尤韵	浣纱旧曲何人笛，一一随风到客舟（泊吴江）。
