铁桥峰（宋·宋煜）　　七言绝句　押东韵	拄杖何年掷向空，云端隐约化晴虹。此桥端的通霄汉，谁与同游访月宫①。
题朱明洞（宋·宋煜）　　七言绝句　押灰韵	涧流一一抱峰回，面面林峦锦帐开。我品洞天居第七，只应题作小蓬莱。
蝴蝶洞（宋·宋煜）　　七言绝句　押支韵	阴深古木护涟漪，洞里藏春人不知。不是桃源深有路，如向蝴蝶满璚枝。
石臼洞（宋·宋煜）　　七言绝句　押寒韵	清泉一派水潺潺，石穴端然一臼安。洗药炼丹仙已去，只留踪迹与人看。
遗衣坛（宋·宋煜）　　七言绝句　押寒韵	驾鹤乘鸾归紫府，仙凡从此不相干。要传当日飞升事，收拾遗衣为结坛。
朱子庵（宋·宋煜）　　七言绝句　押鱼韵	仙人自昔好楼居，怪石棱层倚碧虚。见说通天中有路，世间何处觅飙车。
黄野人庵（宋·宋煜）　　七言绝句	淮南鸡犬上云端，底事先生独世间。上界应嫌官府足，不如平地且骖鸾。
竹符（宋·宋煜）　　七言绝句　押虞韵	仙篆元非世俗书，笔端会把鬼神驱。当年笔迹今何在，洞客争传竹叶符①。
