资圣院（宋·孙谔）　　五言绝句　押冬韵	四山藏一寺，方丈压诸峰。回首坐禅处，白云深几重。
赠僧道澄（宋·孙谔）　　七言绝句	闻说虞山有道澄，白云深处不闻扃。自言古佛何为者，只是无心一老僧①。
题江滨驿（宋·孙谔）　　七言绝句　押庚韵	渡江始至长江县，返照雨馀村落明。此地曾经诗客到，九秋风月至今清①。
文州（宋·孙谔）　　七言绝句　押庚韵	烟笼合处日华明，龙女山横拥郡城。番马远随流水至，边人高入白云耕。
句（宋·孙谔）　　押麻韵	竹林藏月读书家①。
句（宋·孙谔）　　押庚韵	秋空独见周王庙，夜月犹悬蜀将营（文王庙）。
