五派 临济（宋·释普鉴）　　七言绝句　押先韵	铜头铁觜百家冤，一喝双分照用全。三尺吹毛定寰宇，临行抛向瞎驴边。
五派 云门（宋·释普鉴）　　七言绝句　押先韵	三句都将一串穿，等闲挂向御楼前。几多行客眼定动，东海鲤鱼飞上天。
五派 曹洞（宋·释普鉴）　　七言绝句　押元韵	紫庭黄阁带春温，寝殿何人侍至尊。长爱百司分职处，玉鞭敲镫出金门。
五派 法眼（宋·释普鉴）　　七言绝句　押灰韵	溪光野色浸楼台，一笛遥闻奏落梅。风送断云归岭去，月和流水过桥来①。
五派 沩仰（宋·释普鉴）	一个撒开千万个，簸箕解说无生话。草堂睡起觜卢都，寂子要须原梦破。
真净禅师举石霜虔侍者话问之契悟偈（宋·释普鉴）　　押尤韵	枯木无华几度秋，断云犹挂树梢头。自从斗折泥牛角，直至如今水倒流。
偈（宋·释普鉴）	月圆，伏惟三世诸佛。狸奴白牯，各各起居万福。时中淡薄，无可相延，切希宽抱。老水牯牛，近日亦自多病多恼，不甘水草。遇著暖日和风，当下和身便倒。教渠拽杷牵犁，直是摇头摆脑。可怜万顷良田，一时变为荒草①。
颂古二首（宋·释普鉴）　　押歌韵	拈花亲付老头陀，平地俄兴一丈波。后代钉椿摇橹者，竹篙量水转譊讹①。
