桃源（宋·古汴高士）　　七言绝句　押麻韵	山前溪是当时水，源上桃非旧日花。多是①渔郎露消息，洞门从此锁烟霞。
楚山春晓（宋·古汴高士）　　七言绝句　押寒韵	雾散云收宿雨乾，秦桃落尽晓风寒。晴山四望天开画，啼鸟一声人倚栏。
潼坊晚渡（宋·古汴高士）　　七言绝句　押支韵	日落山前水涨时，有人拍掌笑嘻嘻。篙师只管需把手，载过神仙不自知。
渌罗晴昼（宋·古汴高士）　　七言绝句　押歌韵	第一岩前景若何，江流潋滟漾晴罗。游仙道士无萦系，也共白云栖一窝。
浔阳古寺（宋·古汴高士）　　七言绝句　押阳韵	浔阳古寺久荒凉，倒柱颓梁卧夕阳。一盏佛灯犹未灭，霁天云淡月华光。
白马雪涛（宋·古汴高士）　　七言绝句　押灰韵	层澜叠浪势轰雷，怒雨号风涌雪堆。半夜四天云墨黑，恍疑白马闯江来①。
炼丹台（宋·古汴高士）　　七言绝句　押文韵	洞角丹砂吐锦云，龟毛铅彩瑞氤氲。我来收入县胎鼎，炼到洪濛未剖分①。
