偈二首（宋·释胜）　　押支韵	即心即佛几人知，立雪齐腰只得皮。四海浪平龙玩宝，尽他蝼蚁撼须弥。
颂古七首（宋·释胜）　　押合韵	无量妙义皆周匝，旋乾转坤为一合。当阳横按笑中刀，犹欠顶门上一踏。
颂古二十四首（宋·释胜）　　押阳韵	摩天鸩鸟九头毒，护世那吒八臂长。水自竹边流出冷，风从花里过来香①。
