石桥（宋·余爽）　　七言绝句　押侵韵	云藏钟鼓雾埋林，龙护山花雀散金。知道有人桥外住，青崖遮断不教寻。
玉京洞（宋·余爽）　　七言绝句　押青韵	羽驾归来洞已扃，洞门深锁读残经。琼台一觉仙都梦，不觉松根长茯苓。
福圣观（宋·余爽）　　七言绝句　押先韵	九峰回合抱琼田，石蕊云英漱瀑泉。闻说丹成从此路，玉虹芝驾上青天。
桐柏崇道观（宋·余爽）	乘风御云气，来访真人家。玉阙散朝景，琼台焕晨霞。高临太元天，下眄赤水涯。阴魄位霜采，阳精发丹华。桐君奉玄书，姥女弄绛纱。祥虹混五色，神芝秀三葩。煌煌王母居，飘飘紫皇车。飙轮动无迹，风马去亦赊。矫首揖浮丘，蹑屐追皇娲。珠宫俯台斗，石梁碍流槎。操持却日鞭，跨踏食月蛙。龙旗拂烟雾，鹤袂策云斜。清都隐虚无，金庭郁嵯峨。横霄杂美气，空界流浩波。囊籥劳吹嘘，吐纳烦羲和。倏尔度灰劫，超然绝尘罗。灵箫步何徐，玉斧鬓已皤。飞驾逐凤吹，斑驎奏鸾歌。宁留饭青精，幸我栽胡麻。交梨瑩肝胆，火枣醒齿牙。咽漱华池津，咀嚼碧柰花。有待越三井，思虑无由邪。
