呈佛眼（宋·释法顺）　　七言绝句	顶有异峰云冉冉，源无别派水泠泠。游山未到山穷处，终被青山碍眼睛。
偈五首（宋·释法顺）	好事堆堆叠叠来，不须造作与安排。落林黄叶水推去，横谷白云风卷回。寒雁一声情念断，霜钟才动我山摧。白杨更有过人处，尽夜寒炉拨死灰。
仆雪中偈（宋·释法顺）　　押虞韵	垂老住山寺，参官走道途。前村雪岭上，颠倒没人扶①。
