砂锣盛油（宋·释慧勤）　　七言绝句　押尤韵	铜砂锣里落盛油，生菜还他萝卜头。但看来年正月半，家家门首挂灯毬①。
偈（宋·释慧勤）	八月二十五，有宾兼有主。辊出雪峰毬，打动禾山鼓。天帝释摇头，大梵王作舞。不透上林关，未敢轻相许。空生不解此家风，惹得岩前华似雨①。
颂古七首 达磨见武帝（宋·释慧勤）	始闻阿阁一声钟，日暖苍龙睡正浓。再击凤凰台上鼓，夜半祥鸾未飞舞。帝基永固如磐石，胡僧枉费平生力。回指少林归去来，春风一阵华狼藉。
偈六首（宋·释慧勤）	至道无难，唯嫌选择。桃华红，李花白，谁道融融只一色。燕子语，黄莺鸣，谁道关关只一声。不透祖师关捩子，空认山河作眼睛。
