偈七首（宋·释继成）　　押真韵	茫茫尽是觅佛汉，举世难寻闲道人。棒喝交驰成药忌，了亡药忌未天真。
偈二首（宋·释继成）	太阳门下，日日三秋，从东过西。明月堂前，时时九夏，指鹿为马。
颂古四首 夹山境话。（宋·释继成）　　押麻韵	古路雪深覆，好山云更遮。雁声天外急，游子夜还家。
