答僧（宋·释遇安）　　五言绝句　押删韵	欲识曹溪旨，云飞前面山。分明真实个，不用别追攀①。
将卒示嗣子蕴仁（宋·释遇安）　　七言绝句　押灰韵	不是岭头携得事，岂从鸡足付将来。自古圣贤皆若此，非吾今日为君裁①。
呈韶国师偈（宋·释遇安）	推真真无物，穷妄妄无形。返观真与妄，真妄亦虚名①。
