咏东溪碧波亭（宋·姚孳）　　七言绝句　押麻韵	赖简池台两蜀誇，东溪别是一仙家。令人却忆康王谷，坐看珠帘溅雨花①。
石桥（宋·姚孳）　　七言绝句　押麻韵	万派铿鞫走电车，跨岩蚴蟉玉虹斜。灵禽飞下传消息，五百瓯心结茗花。
国清寺（宋·姚孳）　　七言绝句　押寒韵	梵宫四面五峰巑，兜率台高倚翠峦。会有寒山重到此，倩谁试与问丰干①。
金鸡关（宋·姚孳）　　押元韵	甘露灵根不老，尔朱丹灶空存。三十六蒙好处，倚栏役破诗魂①。
