史云麓先生席上赠顾梅山（宋·顾逢友）　　七言绝句　押先韵	五字诗名著少年，端嘉诸老喜相传。几回春雨堂中醉，笑拍阑干月正圆①。
顾君际号梅山（宋·顾逢友）　　七言绝句　押寒韵	数亩萧疏一径宽，散飞香雪遍林端。应思处士桥边路，吟绕横枝月影寒①。
题吴田园杂兴诗（宋·顾逢友）　　七言绝句　押支韵	一卷田园杂兴诗，世人传诵已多时。其中字字有来处，不是笺来不得知①。
御览所同顾君际检书（宋·顾逢友）　　七言绝句　押灰韵	金锁朱门次第开，万签黄册绝尘埃。此中亦有先生稿，应是曾经御览来①。
顾君际近集（宋·顾逢友）　　七言绝句　押先韵	有诏曾求魏仲先，草堂飞鹤避茶烟。晚营馁鬼今何限，弱冠诗名六十年①。
