题传舍（宋·张唐英）　　七言绝句　押寒韵	先帝昭陵土未乾，又闻永厚葬衣冠。小臣有泪皆成血，忍向东风看牡丹①。
句（宋·张唐英）　　押尤韵	西掖词臣旧处游，南隆隐客敞庐幽（鲜于氏紫云亭）。
偈一首（宋·张唐英）　　押屑韵	言生本不生，言灭本不灭。觉路自分明，勿与迷者说①。
