池鱼（宋·祝庆夫）　　七言绝句	方池如鉴碧溶溶，锦鲤游扬逐浪中。伫看三春烟水暖，好观一跃化神龙。
庭竹（宋·祝庆夫）　　七言绝句　押寒韵	庭前修竹长琅玕，任是隆冬不畏寒。戛玉筛金承雨露，亭亭青翠拂云端。
句（宋·祝庆夫）　　押支韵	冰雪凝难解，风云庆有时①。
