非风幡动仁者心动颂（宋·释本先）　　押侵韵	非风幡动唯心动，自古相传直至今。今后水云人欲晓，祖师直是好知音。
见色便见心颂（宋·释本先）　　押合韵	若是见色便见心，人来问著方难答。更求道理说多般，孤负平生三事衲。
明自己颂（宋·释本先）	旷大劫来祇如是，如是同天亦同地。同地同天作么形，作么形兮无不是①。
