绝句（宋·黄春伯）　　七言绝句　押先韵	半篙春水一蓑烟，抱月怀中枕斗眠。说与时人休问我，英雄回首即神仙①。
访白玉蟾值其出题壁（宋·黄春伯）　　押贿韵	怪访怪，怪不在。茅君山，来相待。
旴江舟中联句（宋·黄春伯）　　押文韵	无正文。
南台舟中联句（同上）（宋·黄春伯）　　押文韵	无正文。
疏山舟中联句（同上）（宋·黄春伯）　　押文韵	无正文。
泊舟浮石寺前有善士百馀辈拜迎因联句于水滨民居之壁（同上）（宋·黄春伯）　　押文韵	无正文。
戏联食𩻣体取其骨糜肉化之义（同上）（宋·黄春伯）　　押文韵	无正文。
戏联仄字体（同上）（宋·黄春伯）　　押文韵	无正文。
戏联平字体（同上）（宋·黄春伯）　　押文韵	无正文。
戏联叠韵体（同上）（宋·黄春伯）　　押文韵	无正文。
戏联回文体（同上）（宋·黄春伯）　　押文韵	无正文。
