过华清宫（宋·杜常）　　七言绝句　押庚韵	行尽江南数十程，晓风残月入华清。朝元阁上西风急，都入长杨作雨声①。
夜雨晨霁（宋·杜常）　　七言绝句　押东韵	桕叶青青栎叶红，高低相倚弄秋风。夜来雨后轻尘敛，绣出骊山岭上宫。
温泉（宋·杜常）　　七言绝句　押删韵	已去开元四百年，此泉犹自响潺潺。也知不愤当时事，长作悲声恨禄山。
骊山（宋·杜常）　　七言绝句　押删韵	渔阳烽燧起云间，玉辇苍黄下此山。何事君王自神武，区区南渡鹿头关①。
句（宋·杜常）　　押先韵	江声聒破刺史眠①。
