寄从弟鳣堂（宋·杨邦乂）　　七言绝句　押江韵	从前我亦慕耕桑，世故驱人起北窗。昨夜梦归惊邂逅，羊裘和雪钓洞江。
金濑吊贞女歌（宋·杨邦乂）	溧山兮苍苍，濑水兮汤汤。中有贞女，饮冰茹霜。于焉击漂，维濑之阳。遭壮士兮苦绝粮，赈穷不惜倾壶浆。所处既以义，安能计存亡。幡然捐佩人不测，下游九土从英皇。耿幽光兮贯白日，凛正气兮摩穹苍。呜呼！世无李太白，此女终弗扬。遗风奕奕，山高水长。可以敦薄俗，激忠良，千古万古谁颉颃①。
句（宋·杨邦乂）　　押真韵	宁作赵氏鬼，不为它邦臣①。
