贽见洪师（宋·黄铸）　　七言绝句　押庚韵	风烟入暝少人行，独鹤来依帝子城。华表柱头霜月冷，清宵有梦到钟声①。
小重山（宋·黄铸）	凉入秋檐雨意长。竹深啼络纬，响虚堂。一枝灯影耿昏黄。疏帘外，风度木樨香。心事易成伤。燕支坡下路，语如簧。定仙螺子玉钗梁。鸳屏梦，应到旧韦郎。
秋蕊香令（宋·黄铸）	花外数声风定。烟际一痕月净。水晶屏小敧醉枕。院静鸣蛩相应。香销斜掩青铜镜。背灯影。寒砧夜半和雁阵。秋在刘郎绿鬓。
