柳（宋·李亿）　　押鱼韵	倚岸依依一两株，溪风吹影暮烟疏。青条拂水长如线，钓叟折来穿白鱼①。
念奴娇（宋·李亿）	镜鸾分影，望天涯肠断，悄无红叶。几度秋风吹翠被，一缕幽香难灭。燕卜新梁，花移别槛，回首春如客。欢情何在，绿杨空锁愁色。可是今古风流，小乔姝丽，只许周郎得。金谷珠帘空百尺，不碍梦魂飞入。钗股盟深，旧缘未断，月有重圆日。蓝桥路近，乘云先问消息。
菩萨蛮（宋·李亿）	画楼酒醒春心悄。残月悠悠芳梦晓。娇汗浸低鬟。屏山云雨阑。香车河汉路。又是匆匆去。鸾扇护明妆。含情看绿杨。
徵招 梅（宋·李亿）	翠壶浸雪明遥夜，初疑玉虬飞动。莫弄紫箫吹，堕寒琼惊梦。把红炉对拥。怕清魄，不禁霜重。爱护殷勤，待长留作，道人香供。尘暗古南州，风流远、谁寻故枝么凤。谩举目销凝，对愁云曚暡。向霞扉月洞。且嚼蕊、细开春瓮。这奇绝，好唤苍髯，与竹君来共。
