杏花（宋·厉文翁）　　七言绝句　押删韵	杏花菖叶渐烂斑，率属劭农入祖关。昔日郎君方彩袖，今朝太守已苍颜①。
庭竹（宋·厉文翁）　　七言绝句　押元韵	渭川未暇栽千亩，庭槛聊须种数根。敢爱深秋群木脱，独欺风雨战黄昏①。
茶（宋·厉文翁）	海滨鱼盐胜耕稼，尝呼父老采丁宁。江乡鱼茗尤逐末，为分利害别重轻。拔茶种桑何苦口，崇阳因得良吏名①。
句（宋·厉文翁）　　押支韵	暮云春雪江南北，回首人生叹路歧（梅花）。
