洛思山（宋·徐天祐）　　七言绝句　押侵韵	归去蹉跎岁月深，羁愁无奈故乡心。人生毕竟俱怀土，庄舄当时自越吟①。
许询园（宋·徐天祐）　　七言绝句　押萧韵	高栖不受鹤书招，北干家园久寂寥。明月空怀人姓许，故山犹自岫名萧①。
箪醪河（宋·徐天祐）　　七言绝句　押支韵	往事悠悠逝水知，临流尚想报吴时。一壶能遣三军醉，不比商家酒作池①。
钱王祠（宋·徐天祐）　　七言绝句　押尤韵	石槛山前结驷游，故乡霞锦遍林丘。祇今东府空遗庙，露立唐碑老树秋①。
方干岛（宋·徐天祐）　　七言绝句　押支韵	平生心事白欧知，一卷云庵处士诗。占得镜中奇绝处，祇缘身值广明时。
白楼亭（宋·徐天祐）　　七言绝句　押删韵	江左名流共往还，白楼何许只青山。不须商略闲今古，物换星移俯仰间①。
