昌州 其一（宋·陈伯强）　　五言绝句　押阳韵	昌国古要区，人物屹相望。功名刻高崖，粟帛赐满箱。
昌州 其二（宋·陈伯强）　　七言绝句　押庚韵	东郊地软桥路平，留得皇祐诗家名。粟帛之赐岂数有，花柳向人空复情①。
句（宋·陈伯强）　　押屑韵	丈人论行辈，高出五岳列（丈人观）。
