诗一首（宋·张景）　　五言绝句　押麌韵	我非东方儿，不是牛耕土。欲识我踪迹，一气万物母①。
题董真人（宋·张景）　　七言绝句　押先韵	桃花谩说武陵源，误教刘郎不得仙。争似莲花峰下客，栽成红杏上青天①。
探梅（宋·张景）　　押震韵	跨蹇度溪桥，处处寻春信。青枝摊蓓蕾，唤仆频频认①。
句（宋·张景）　　押尤韵	两岸绿杨遮虎渡，一番青草覆龙洲①。
