竹篦（宋·释祖元）　　五言绝句　押寘韵	不触又不背，徒劳生拟议。开口更商量，白云千万里①。
香严贫（宋·释祖元）　　七言绝句　押真韵	无地无锥未是贫，知无尚有守无身。侬家近日贫来甚，不见当初贫底人。
偈一首（宋·释祖元）　　押真韵	小庵小舍小丛林，土地何须八九人。若解轮番来打供，免教碎作一堆尘①。
偈三首（宋·释祖元）　　押个韵	剔起灯来是火，历劫无明照破。归堂撞见圣僧，几乎当面蹉过。
