题玲珑山（宋·章良能）　　七言绝句　押东韵	短锸长镵出万峰，凿开混沌作玲珑。市朝可是无巇崄，更向山林巧用工①。
题李伯时飞骑习射图（宋·章良能）	禁营貔虎天厩龙，技痒不奈刍粟丰。闻道宝津尝护驾，前期踊跃矜骁雄。红绡低系柳枝碧，满满弯弓斫鬉射。偶然穿叶未为奇，截下红绡方破的。綵绳长曳綵毬轻，闪烁眩转如奔星。弦头霹雳起马脚，回看一箭落欃枪。乌纱帽稳春衫薄，交鞯焕烂青丝络。千步场深隔九关，毕景驰驱有馀乐。李侯应奉随春官，日晏归穿卫士班。平生抵死怜神骏，绝艺那能不细看。不学阎公伏池侧，仓皇丹粉供宣索。他年乘兴试追寻，妙处祇须凭子墨。十六蹄翻意态真，罄控应节顾眄亲。当时骑士尽应尔，尚想元丰兵制新。慨今多事困供亿，养兵殆且殚民力。未闻士歌马腾槽，安得从容观戏剧①。
小重山（宋·章良能）	柳暗花明春事深。小阑红芍药，已抽簪。雨馀风软碎鸣禽。迟迟日，犹带一分阴。往事莫沈吟。身闲时序好，且登临。旧游无处不堪寻。无寻处，惟有少年心。
