九日赠僧（宋·唐介）　　五言绝句　押阳韵	今日是重阳，劳师访野堂。相逢又无语，篱下菊花黄①。
明王寺（宋·唐介）　　五言绝句　押支韵	日高霞散彩，松老鹤巢枝。坏壁诗犹在，纱笼何用之①。
碧落洞（宋·唐介）	余生本孤拙，所志在云石。薄宦偶缠锁，未遂林泉适。迩来备台选，幸一当言责。狂愚抵罪辜，遽从遐徼谪。区区数千里，车马倦行役。浈阳颇善地，解辔喜安席。官散无所事，度日多闲隙。太守苏宣甫，邀我访奇迹。西山有石室，疑是灵仙宅。翛然烟径入，讶若天门辟。中泻一溪清，傍映千峰碧。万穴滴瑶乳，两岸张翠幕。爽气来先秋，昏岚生未夕。不知造化意，何为置穷僻。周生说到难，兹文不虚摭。怪容诚莫状，胜迹今始获。暂已瑩耳目，久觉生虚白。拂拭缨上尘，回头谢朝客。虽非吾所乐，聊以慰奇只。圣恩未放还，屡游君莫惜①。
句（宋·唐介）　　押质韵	越林多蔽天，黄柑杂丹橘（送梅尧臣）。
