偈（宋·释空）	十方无壁落，四面亦无门。净裸裸，赤洒洒，没可把。
野狐话颂（宋·释空）　　押有韵	含血噀人，先污其口。百丈野狐，失头狂走。蓦地唤回，打个筋斗①。
颂古 柏树。（宋·释空）　　押寒韵	打人骂人易，劝人休却难。不识饶人处，急水下高滩①。
