戊申年七夕五绝（宋·张秉）　　七言绝句　押真韵	斜汉西倾桂魄新，停梭今夕度天津。世间纵有支机石，谁是成都卖卜人。
郑州联句（宋·张秉）　　七言绝句　押灰韵	函关秋霁雁初回，六里商于晓色开（张秉）。四皓有灵应笑我，谪官方始入山来（王禹称）。
清风十韵（宋·张秉）　　五言排律　押真韵	何处来蘋末，萧骚尽四邻。金茎吹晓露，玉宇动轻尘。易水离歌阕，齐纨怨思新。泛兰迷旧泽，落帽会佳辰。篱菊飘香远，庭桐坠叶频。帆开五湖客，槎去九霄人。曲沼铺纹簟，平芜偃绿茵。鸿飞资羽翮，鹰击助精神。仙驭归堪待，琴松韵更真。披襟同楚树，千古自相亲。
句（宋·张秉）　　押阳韵	叠石自然成雁塔，贮泓依旧作龙塘①。
