至猪钩沙（宋·蔡莱）　　七言绝句　押尤韵	江树栖烟暝色浮，波声不动月华流。浪花千顷潮平岸，兴入春风万斛舟①。
西宫（宋·蔡莱）　　七言绝句	云兴霞蔚控千山，势压江南广殿寒。风偃万松斜日晚，卧看风雨落人间。
藏云轩（宋·蔡莱）　　七言绝句　押侵韵	山边畏景欲流金，山下浮埃几度深。水宿岩栖得真乐，可无馀事到商林①。
