题渊明采菊图（宋·郑起潜）　　五言绝句　押支韵	闲却经纶手，东篱把菊枝。先生花外意，难画亦难诗。
题蜀道难图（宋·郑起潜）　　五言绝句　押寒韵	蜀道难从古，于今分外难。江山风景在，忍把画图看①。
和蕙岩登塔韵（宋·郑起潜）　　七言绝句　押蒸韵	秋向空高分外澄，排云携手共梯登。举头便是蟾宫路，休问青霄有几层。
