摘椒颂（宋·释净全）　　押尤韵	含烟带露已经秋，颗颗通红气味周。突出眼睛开口笑，这回不恋旧枝头①。
答松源和尚举竹篦话颂（宋·释净全）　　押纸韵	黑漆竹篦握起，迅雷不及掩耳。德山临济茫然，懵底如何插嘴。
答大慧举灵云悟桃花颂（宋·释净全）　　押庚韵	灵云一见两眉横，引得渔翁良计生。白浪起时抛一钓，任教鱼鳖竞头争。
颂古三首（宋·释净全）　　押麻韵	此老从来谩自誇，无端病眼见空华。直教当下超三际，检点将来未到家。
自赞（宋·释净全）　　押虞韵	匙挑不上个村夫，文墨胸中一点无。曾把虚空揣出骨，恶声赢得满江湖①。
