赠王直方（宋·秦觏）　　七言绝句　押先韵	不到王家近十年，子猷风韵亦依然。旧时朋友今何在，别后新诗谁与传①。
呈东坡（宋·秦觏）　　七言绝句　押虞韵	十里荷花①菡萏初，我公初置②有西湖。欲将公事湖中了，见说官閒事已④无③。
和王直方夜坐（宋·秦觏）　　七言绝句　押阳韵	帏幔高深夜漏长，颇从诗酒傲冰霜。烛花渐暗人初睡，金兽无烟却有香①。
黄金缕（宋·秦觏）	妾本钱塘江上住，花落花开，不管流年度。燕子衔将春色去，纱窗几阵黄梅雨。斜插犀梳云半吐，檀板轻敲，唱彻黄金缕。梦里彩云无觅处，夜凉明月生南浦。
