君山（宋·王濯）　　七言绝句　押虞韵	无际波光滉太虚，君山一点暮云孤。危楼栏槛能多少，展尽江湖万里图①。
清都观（宋·王濯）　　七言绝句　押阳韵	天上清都人莫到，山间仙观久荒凉。惟余旧浴丹砂井，一酌犹令齿颊香。
句（宋·王濯）　　押支韵	绝壁高千丈，清泉应六时（延庆观）。
