诗一首（宋·张氏）　　七言绝句　押支韵	罗幕泥金窣地垂，夜香烧尽二更时。不知帘外溶溶月，上到梅花第几枝①。
赠人（宋·张氏）　　七言绝句　押盐韵	云鬓慵梳睡不忺，倚阑听燕语虚檐。春愁自是无重数，生怕东风揭绣帘①。
句（宋·张氏）　　押灰韵	莫讶泪频滴，都缘心未灰（蜡烛）。
