鄂渚作（年十五）（宋·杨克一）　　五言绝句	洞庭无风时，上下皆明月。微波不敢兴，甚静蛟蜃穴。
寄吕本中（宋·杨克一）　　五言绝句　押阳韵	东平佳公子，好学到此郎。别去今几日，结交皆老苍。
遗荥阳公（宋·杨克一）　　七言绝句　押先韵	雨绿霜红郭外田，山浓水澹欲寒天。参军抱病陪清赏，一檄呼归亦可怜。
句（宋·杨克一）	不知更事多，但觉拜人少（寄吕本中）。
